管线包基本参数总表,,,,,,,
分类,参数/字段,数值/范围,单位/格式,适用范围,来源,状态,备注
产品定义,名称/别名,机器人管线包；Robot Dress Package；Cable Carrier System,—,客户与技术资料统一名称,AI客服_02_产品与选型知识.md,已确认,对外可统一写“机器人管线包（Dress Pack）”
产品组成,核心部件,动力电缆、信号/通讯线、水气管、波纹管/外护管、固定座、分线器、防撞球、弹簧/旋转/伸缩机构、连接器,—,标准方案通用拆分,T/QGCML 3327-2024；AI客服_02,已确认,按具体BOM增减
波纹管规格,标准内径,29 / 36 / 48 / 70,mm,全系列,AI客服_02；选型规范,已确认,按线束总外径、最小弯曲半径、填充率校核
结构系列,1系,协作/轻载：柔性支架、波纹管卡、卡箍,—,协作机器人、紧凑轻量线束,AI客服_02,已确认,AUBO I5为示例
结构系列,2系,旋转支架：4轴附近部署，适应6轴大旋转角,—,搬运、搅拌摩擦焊、喷涂,AI客服_02,已确认,需按机器人型号确认
结构系列,3系,外置弹簧：J3轴提供伸缩量,—,搬运、上下料、打磨、螺柱焊,AI客服_02,已确认,含双外置弹簧变体
结构系列,4系,直筒/炮筒（U型腔），炮筒内弹簧提供伸缩量,—,点焊、重载复杂动作,AI客服_02,已确认,KUKA KR210为示例
结构系列,5系,伸缩支架：支架内置弹性单元提供伸缩量,—,点焊、搬运、复杂轨迹,AI客服_02,已确认,可与48/70组合
结构系列,6系,C型法兰：防火布包缆+弹簧+钣金,—,点焊,AI客服_02,已确认,按具体法兰接口定制
组合规则,管径与机构组合,2/3/4/5系均可与48/70管径组合,—,常规方案,AI客服_02,已确认,例：48外置弹簧、70炮筒、70伸缩支架
材料,CPP,改性PA6波纹管方案,—,常规及高频弯曲场景,材料通用物性对照_20260911,已确认,CPP不是工程聚丙烯，PVC不作为包体材料口径
材料,SDP,芳纶布包裹电缆的结构方案,—,需要改变电缆运动路径和受力时按需叠加,材料通用物性对照_20260911,已确认,SDP不是TPU，也不存在统一寿命数字
材料,固定座,改性PA+GF,—,固定结构件,材料通用物性对照_20260911,已确认,具体牌号按项目BOM
防护,IP40,防固体异物≥1mm，不防水,—,搬运、3C装配,选型规范4.3,建议值,按项目要求确认
防护,IP54,防尘+防溅水,—,焊装、一般工业、点焊常用,选型规范4.3,建议值,不要默认等同IP65/IP67
防护,IP65,防尘+防喷水,—,打磨、冲洗环境,选型规范4.3,条件值,需对应型号测试确认
防护,IP67,防尘+短时浸没,—,短时浸没场景,选型规范4.3,条件值,未提供对应型号报告时不作全系承诺
寿命,500万次抗扭转,整套管线包的波纹管经过500万次的抗扭转测试不破损,次,指定波纹管样品,第三方报告/公司确认口径,条件值,报告仅对来样负责，不能直接等同整包寿命
测试标准,抗扭转,GB/T 37220-2018,标准号,波纹管抗扭转测试,ADTK20240624008F,已确认,报告另列测试频率、角度和样长
测试标准,弯曲,GB/T 5565.1-2017,标准号,波纹管弯曲测试,ADTK20240624008F,已确认,整包寿命需结合线缆、接头和轨迹
测试标准,防护等级,GB/T 4208-2017,标准号,IP等级测试方法,公司技术口径,已确认,不作为某个型号已通过IP67的证明
测试标准,阻燃性能,GB/T 2408-2021,标准号,材料阻燃测试方法,公司技术口径,建议值,需具体报告确认材料是否测试
选型输入,机器人信息,品牌、系列、完整型号、版本、负载、臂展、安装方式、控制柜,—,选型必填,AI客服_02,已确认,系列名不够，需完整型号
选型输入,应用工艺,点焊、搬运、涂胶、弧焊、激光焊、打磨、喷涂、SPR/FDS等,—,选型必填,AI客服_02,已确认,影响机构和材料
选型输入,线缆清单,动力、编码器、通讯、水气管的型号、外径、根数、最小弯曲半径、接头,—,选型必填,AI客服_02,已确认,接头外径常大于线缆外径
选型输入,项目属性,新机/改造、数量、交期、快换、通讯方式、预算,—,选型必填,AI客服_02,已确认,改造项目需现场视频/图片
计算公式,波纹管填充率,电缆截面积 / 管截面积,比率,内径校核,技术设计知识库_重新设计方案.md,建议值,阈值需按公司规程、弯曲半径和工艺确认
质保/服务,质保口径,整包质保一年；具体以合同为准,—,常规方案,AI客服_04,条件值,不把未签合同的延长质保写成承诺
