配套件基础参数（T/QGCML 3327-2024）,,,,,,
名称,规格,用途,材质,耐温等级,尺寸,行程
防撞球,48防撞球,适配48管，保护波纹管免受外力冲击,PA,T3,78 mm,—
防撞球,70防撞球,适配70管,PA,T3,106 mm,—
固定座,48固定座,连接机器人和塑料件,PA,T3,30 mm，M6螺钉,—
固定座,70固定座,连接机器人和塑料件,PA,T3,30 mm，M8螺钉,—
固定内夹,48固定内夹,固定波纹管,PA,T3,50 mm,—
固定内夹,70固定内夹,固定波纹管,PA,T3,73 mm,—
双头喇叭口,48双头喇叭口,波纹管可在内部穿梭,PA,T3,61 mm,—
双头喇叭口,70双头喇叭口,波纹管可在内部穿梭,PA,T3,85 mm,—
球形套筒,48球形套筒,管线包末端，配合滑动内夹和分线器,PA,T3,80 / 103 mm,—
球形套筒,70球形套筒,管线包末端，配合滑动内夹和分线器,PA,T3,104 / 122 mm,—
滑动内夹,48滑动内夹,嵌套在双头喇叭口和球形套筒内部固定波纹管,PA,T3,78 mm,—
滑动内夹,70滑动内夹,嵌套在双头喇叭口和球形套筒内部固定波纹管,PA,T3,106 mm,—
分线器,48分线器,配合固定电缆,橡胶,T2,53 / 35 / 47 mm,—
分线器,70分线器,配合固定电缆,橡胶,T2,84 / 53 / 74 mm,—
伸缩支架,48伸缩支架,为48波纹管提供伸缩量,铝合金,T4,385 / 652 / 252 / 86 mm,—
伸缩支架,70伸缩支架,为70波纹管提供伸缩量,铝合金,T4,按标准图纸,—
外置弹簧,48外置弹簧,为48波纹管提供伸缩量,金属,T4,650 / 120 / 110 mm,400 mm
弹簧炮筒,弹簧炮筒,为70波纹管提供伸缩量,ABS,T3,740 / 155 / 145 mm,350 mm
网球拍,70/80/90/100网球拍,连接机器人6轴法兰,金属,—,按R70/R80/R90/R100法兰规格,—
波纹管,48波纹管,保护电缆,PA12,—,内径48 mm,—
波纹管,70波纹管,保护电缆,PA12,—,内径70 mm,—
魔术贴支架,魔术贴支架,协作机器人快速固定波纹管,PUR+尼龙,—,自适应,—
